model,smape,mase,rmse
AutoTheta,14.638361590272732,0.9238392715866472,1106.2650489910818
AutoETS,15.185619957755625,0.9203458488130788,1142.7280947137135
CatBoostGlobal,16.030670686179267,1.1582883651236726,1304.6429622046107
CatBoostLocal,16.593386242750885,1.1248254050315845,1287.1644475917458
Naive,16.930446535286293,1.085851286548642,1358.8379611138655
CatBoostClusterGlobal,16.958108607342062,1.142168395845903,1379.7722803954384
SeasonalNaive,18.254495746678547,1.1897093997065393,1315.1077328167407
